timestamp,detection_confidence,estimated_distance_cm,flight_time,battery,acc_x,acc_y,acc_z,pitch,roll,yaw_attitude,altitude_tof,vel_x,vel_y,vel_z,rc_lr,rc_fb,rc_ud,rc_yaw
2025-08-07T14:22:45.644933,0.0,0.0,13,39,-19.0,12.0,-1000.0,0,0,171,167,0,0,-1,0,0,0,25
2025-08-07T14:22:45.825062,0.8117325901985168,76.71232876712328,13,39,0.0,11.0,-982.0,0,0,171,169,0,0,-1,0,-7,-27,-22
2025-08-07T14:22:45.859247,0.39336228370666504,99.55555555555556,13,39,0.0,11.0,-982.0,0,0,171,169,0,0,-1,0,-9,12,-30
2025-08-07T14:22:45.891371,0.39336228370666504,99.55555555555556,13,39,0.0,-5.0,-957.0,0,0,172,170,0,0,-1,0,-10,-20,-30
2025-08-07T14:22:45.921338,0.7884284257888794,78.32167832167832,13,39,0.0,-5.0,-957.0,0,0,172,170,0,0,-1,0,-9,-20,30
2025-08-07T14:22:45.938917,0.7884284257888794,78.32167832167832,13,39,0.0,-5.0,-957.0,0,0,172,170,0,0,-1,0,-8,-20,-15
2025-08-07T14:22:45.974207,0.8659689426422119,79.43262411347517,13,39,0.0,-5.0,-957.0,0,0,172,170,0,0,-1,0,-8,-20,-19
2025-08-07T14:22:46.004886,0.862427830696106,78.32167832167832,13,39,-5.0,23.0,-960.0,0,0,173,171,0,0,0,0,-7,-20,-20
2025-08-07T14:22:46.035896,0.8853371739387512,79.15194346289752,13,39,-5.0,23.0,-960.0,0,0,173,171,0,0,0,0,-5,-20,-21
2025-08-07T14:22:46.072657,0.8669473528862,76.19047619047619,13,39,-5.0,23.0,-960.0,0,0,173,171,0,0,0,0,-6,-20,-19
2025-08-07T14:22:46.086319,0.86041259765625,74.17218543046357,13,39,-5.0,23.0,-960.0,0,0,173,171,0,0,0,0,-6,-20,-18
2025-08-07T14:22:46.107396,0.8801611065864563,74.66666666666667,13,39,-9.0,20.0,-963.0,0,0,172,170,0,0,0,0,-6,-20,-20
2025-08-07T14:22:46.123398,0.8801611065864563,74.66666666666667,13,39,-9.0,20.0,-963.0,0,0,172,170,0,0,0,0,-6,-20,-19
2025-08-07T14:22:46.140399,0.8801611065864563,74.66666666666667,13,39,-9.0,20.0,-963.0,0,0,172,170,0,0,0,0,-6,-20,-19
2025-08-07T14:22:46.155397,0.8690276145935059,74.91638795986623,13,39,-9.0,20.0,-963.0,0,0,172,170,0,0,0,0,-6,-20,-21
2025-08-07T14:22:46.170720,0.8690276145935059,74.91638795986623,13,39,-9.0,20.0,-963.0,0,0,172,170,0,0,0,0,-6,-20,-20
2025-08-07T14:22:46.194218,0.8515779376029968,74.66666666666667,13,39,-3.0,9.0,-971.0,0,0,172,170,0,0,0,0,-6,-20,-20
2025-08-07T14:22:46.212502,0.8515779376029968,74.66666666666667,13,39,-3.0,9.0,-971.0,0,0,172,170,0,0,0,0,-6,-20,-20
2025-08-07T14:22:46.235980,0.843120813369751,75.9322033898305,13,39,-3.0,9.0,-971.0,0,0,172,170,0,0,0,0,-6,-20,-21
2025-08-07T14:22:46.270910,0.8565695881843567,72.9641693811075,13,39,-3.0,9.0,-971.0,0,0,172,170,0,0,0,0,-6,-20,-18
2025-08-07T14:22:46.303910,0.8853451609611511,72.9641693811075,14,39,4.0,0.0,-972.0,0,0,171,170,0,0,0,0,-7,-20,-19
2025-08-07T14:22:46.335132,0.8449975848197937,72.02572347266882,14,39,4.0,0.0,-972.0,0,0,171,170,0,0,0,0,-7,-20,-19
2025-08-07T14:22:46.366130,0.8356688022613525,77.77777777777777,14,39,4.0,0.0,-972.0,0,0,171,170,0,0,0,0,-7,-20,-23
2025-08-07T14:22:46.387140,0.8313236236572266,76.45051194539249,14,39,4.0,0.0,-972.0,0,0,171,170,0,0,0,0,-7,-20,-20
2025-08-07T14:22:46.409632,0.8313236236572266,76.45051194539249,14,39,-5.0,11.0,-978.0,0,0,171,169,0,0,0,0,-6,-20,-21
2025-08-07T14:22:46.438518,0.8597869873046875,71.3375796178344,14,39,-5.0,11.0,-978.0,0,0,171,169,0,0,0,0,-6,-20,-16
2025-08-07T14:22:46.470352,0.8657206296920776,70.21943573667711,14,39,-5.0,11.0,-978.0,0,0,171,169,0,0,0,0,-7,-20,-17
2025-08-07T14:22:46.504063,0.8325823545455933,70.88607594936708,14,39,12.0,-7.0,-974.0,0,0,170,167,0,0,0,0,-7,-20,-17
2025-08-07T14:22:46.534017,0.8567790389060974,70.21943573667711,14,39,12.0,-7.0,-974.0,0,0,170,167,0,0,0,0,-7,-20,-16
2025-08-07T14:22:46.569342,0.8066892027854919,72.25806451612904,14,39,12.0,-7.0,-974.0,0,0,170,167,0,0,0,0,-8,-20,-17
2025-08-07T14:22:46.604339,0.8577892184257507,69.1358024691358,14,39,-4.0,-2.0,-992.0,0,0,169,167,0,0,0,0,-8,-20,-13
2025-08-07T14:22:46.633153,0.8754489421844482,69.1358024691358,14,39,-4.0,-2.0,-992.0,0,0,169,167,0,0,0,0,-8,-20,-12
2025-08-07T14:22:46.665634,0.8528405427932739,68.08510638297872,14,39,-4.0,-2.0,-992.0,0,0,169,167,0,0,0,0,-8,-20,-12
2025-08-07T14:22:46.685925,0.8457805514335632,65.88235294117646,14,39,-4.0,-2.0,-992.0,0,0,169,167,0,0,0,0,-8,-20,-9
